[00:00:00.000] (7fb1a9b8c640) INFO   Server Open
[00:00:02.461] (7fb1a9b8c640) INFO   new connection 127.0.0.1:36098
[00:00:02.461] (7fb1a9987700) INFO   send => 220 FTP Server (Axolotl FTP)
[00:00:05.074] (7fb1a9987700) INFO   send => 331 Please specify the password
[00:00:05.075] (7fb1a9987700) INFO   recieve => USER anonymous

[00:00:10.050] (7fb1a9987700) INFO   send => 530 This FTP server is anonymous only
[00:00:10.050] (7fb1a9987700) INFO   recieve => PASS annonymous

[00:00:10.050] (7fb1a9987700) INFO   send => 202 Unknow command error
[00:00:10.050] (7fb1a9987700) INFO   recieve => SYST

[00:00:19.621] (7fb1a9987700) INFO   send => 331 Please specify the password
[00:00:19.621] (7fb1a9987700) INFO   recieve => USER anonymous

[00:00:23.425] (7fb1a9987700) INFO   send => 230 Session open
[00:00:23.425] (7fb1a9987700) INFO   recieve => PASS anonymous

[00:00:23.425] (7fb1a9987700) INFO   send => 202 Unknow command error
[00:00:23.426] (7fb1a9987700) INFO   recieve => SYST

[00:00:25.348] (7fb1a9987700) INFO   Tcp data stream open at 127.0.0.1:55605 address
[00:00:25.348] (7fb1a9987700) INFO   send => 200 Command conclud
[00:00:25.349] (7fb1a9987700) INFO   recieve => PORT 127,0,0,1,217,53

[00:00:25.349] (7fb1a9987700) INFO   send => 150 Here commes the directoly listing
[00:00:25.350] (7fb1a9987700) INFO   send => 226 Directory send Ok.
[00:00:25.350] (7fb1a9987700) INFO   recieve => LIST

[00:00:30.704] (7fb1a9987700) INFO   send => 227 Enterring passive mod (127,0,0,1,4,1)
[00:00:30.704] (7fb1a9987700) INFO   recieve => PASV

[00:00:30.704] (7fb1a9987700) INFO   send => 150 Here commes the directoly listing
[00:00:30.706] (7fb1a9987700) INFO   send => 226 Directory send Ok.
[00:00:30.706] (7fb1a9987700) INFO   recieve => LIST

[00:03:35.034] (7fb1a9987700) INFO   send => 221 Session close, bye bye!
[00:03:35.034] (7fb1a9b8c640) INFO   server close
